NestID,Structure Type,Structure ID,Maximum Width,Notes
C_socius14,Chamber,C7,7.4,
C_socius14,Chamber,C8,6.9,
C_socius16,Chamber,C1,6.3,
C_socius16,Chamber,C2,4.1,
C_socius16,Chamber,C3,12.3,
C_socius16,Chamber,C4,8.4,
C_socius16,Chamber,C5,14.1,
C_socius16,Chamber,C6,9.6,
C_socius20,Chamber,C1,5.8,
C_socius20,Chamber,C2,8.6,
C_socius20,Chamber,C3,10.5,
C_socius20,Chamber,C4,14.2,
C_socius20,Chamber,C5,12.5,
C_socius20,Chamber,C6,8.4,
C_socius20,Chamber,C7,3.5,
C_socius20,Chamber,C8,15.6,
C_socius20,Chamber,C9,11.2,
C_socius20,Chamber,C10,9.1,
C_socius21,Chamber,C1,8.7,
C_socius21,Chamber,C2,6,
C_socius21,Chamber,C3,8.1,
C_socius21,Chamber,C4,6.8,
C_socius21,Chamber,C5,11.8,
C_socius21,Chamber,C6,13,
C_socius21,Chamber,C7,8.1,
C_socius21,Chamber,C8,5,
C_socius23,Chamber,C1,8.8,
C_socius23,Chamber,C2,5.5,
C_socius23,Chamber,C3,6.1,
C_socius23,Chamber,C4,13.4,
C_socius23,Chamber,C5,5.1,
C_socius23,Chamber,C6,11.1,
C_socius23,Chamber,C7,7.2,
C_socius24,Chamber,C1,6.5,
C_socius24,Chamber,C2,9.9,
C_socius24,Chamber,C3,6.8,
C_socius24,Chamber,C4,4.8,
C_socius24,Chamber,C5,7.5,
C_socius6,Chamber,C1,7.4,
C_socius6,Chamber,C2,9,
C_socius6,Chamber,C3,10.1,
C_socius6,Chamber,C4,9,
C_socius8,Chamber,C1,8.4,
C_socius8,Chamber,C2,8.1,
C_socius8,Chamber,C3,7.3,
C_socius8,Chamber,C4,8.9,
C_socius9,Chamber,C1,7.1,
C_socius9,Chamber,C2,14,
C_socius9,Chamber,C3,7.2,
C_socius9,Chamber,C4,13.6,
Cono_1,Chamber,C10,2.22,
Cono_1,Chamber,C6,2.49,
Cono_1,Chamber,C13,2.49,
Cono_1,Chamber,C12,2.52,
Cono_1,Chamber,C14,2.56,
Cono_1,Chamber,C11,2.78,
Cono_1,Chamber,C8,3.33,
Cono_1,Chamber,C9,3.38,
Cono_1,Chamber,C5,3.62,
Cono_1,Chamber,C15,3.65,
Cono_1,Chamber,C7,3.98,
Cono_1,Chamber,C4,4.25,
Cono_1,Chamber,C2,4.52,
Cono_1,Chamber,C3,4.66,
Cono_1,Chamber,C16,4.75,
Cono_1,Chamber,C1,6.67,
D_australis,Chamber,C1,NA,
D_australis,Chamber,C2,NA,
D_australis,Chamber,C3,NA,
D_australis,Chamber,C4,NA,
D_australis,Chamber,C5,NA,
D_australis,Chamber,C6,NA,
D_australis,Chamber,C7,NA,
D_australis,Chamber,C8,NA,
D_australis,Chamber,C9,NA,
D_australis,Chamber,C10,NA,
D_australis,Chamber,C11,NA,
D_australis,Chamber,C12,NA,
D_australis,Chamber,C13,NA,
D_australis,Chamber,C14,NA,
D_australis,Chamber,C15,NA,
D_australis,Chamber,C16,NA,
D_indicum1,Chamber,C1,10.514,
D_indicum10,Chamber,C1,7.42,
D_indicum11,Chamber,C1,15.36,
D_indicum12,Chamber,C1,21.05,
D_indicum13,Chamber,C1,19.921,
D_indicum2,Chamber,C1,14.87,
D_indicum3,Chamber,C1,9.826,
D_indicum4,Chamber,C1,18.233,
D_indicum5,Chamber,C1,12.358,
D_indicum6,Chamber,C1,9.999,
D_indicum7,Chamber,C1,15.172,
D_indicum8,Chamber,C1,5.877,
D_indicum9,Chamber,C1,10.069,
D_quadriceps1,Chamber,C1,NA,
D_quadriceps1,Chamber,C2,NA,
D_quadriceps1,Chamber,C3,NA,
D_quadriceps1,Chamber,C4,NA,
D_quadriceps1,Chamber,C5,NA,
D_quadriceps1,Chamber,C6,NA,
D_quadriceps1,Chamber,C7,NA,
D_quadriceps1,Chamber,C8,NA,
D_quadriceps11,Chamber,C1,NA,
D_quadriceps11,Chamber,C2,NA,
D_quadriceps11,Chamber,C3,NA,
D_quadriceps11,Chamber,C4,NA,
D_quadriceps11,Chamber,C5,NA,
D_quadriceps12,Chamber,C1,NA,
D_quadriceps12,Chamber,C2,NA,
D_quadriceps12,Chamber,C3,NA,
D_quadriceps12,Chamber,C4,NA,
D_quadriceps12,Chamber,C5,NA,
D_quadriceps12,Chamber,C6,NA,
D_quadriceps12,Chamber,C7,NA,
D_quadriceps12,Chamber,C8,NA,
D_quadriceps12,Chamber,C9,NA,
D_quadriceps13,Chamber,C1,NA,
D_quadriceps13,Chamber,C2,NA,
D_quadriceps13,Chamber,C3,NA,
D_quadriceps13,Chamber,C4,NA,
D_quadriceps13,Chamber,C5,NA,
D_quadriceps13,Chamber,C6,NA,
D_quadriceps13,Chamber,C7,NA,
D_quadriceps13,Chamber,C8,NA,
D_quadriceps13,Chamber,C9,NA,
D_quadriceps13,Chamber,C10,NA,
D_quadriceps13,Chamber,C11,NA,
D_quadriceps13,Chamber,C12,NA,
D_quadriceps13,Chamber,C13,NA,
D_quadriceps13,Chamber,C14,NA,
D_quadriceps13,Chamber,C15,NA,
D_quadriceps13,Chamber,C16,NA,
D_quadriceps17,Chamber,C1,NA,
D_quadriceps17,Chamber,C2,NA,
D_quadriceps17,Chamber,C3,NA,
D_quadriceps17,Chamber,C4,NA,
D_quadriceps17,Chamber,C5,NA,
D_quadriceps17,Chamber,C6,NA,
